stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id,alias,stop_area,authority,lest_x,lest_y,kommentaar,kovde_oigusakt
141161,4990038,Kase tee,58.7181386,25.9577454,Põltsamaa-Pajusi-Luige mnt suunas,,,0,,,,,,,Põltsamaa vald,Jõgevamaa,,,,
142562,8490090-1,Kirivere kool,58.634017,25.704518,,,,0,,,,,,,Põhja-Sakala vald,Viljandimaa,,,,
139933,5901115-1,Laekvere,59.0678075,26.5595365,,,,0,,,,,Viru4,,Vinni vald,Lääne-Virumaa,6550469.499,646778.812,"lisatud, 541a/post puudub (20.03.2018)",Vinni VV korraldus 3.05.2018 nr 205
5517,34502-1,Vanaveski,59.5609716,25.7246458,,,,0,,,,,Harju4B,,Kuusalu vald,Harjumaa,6603861.0,597502.0,,Kuusalu VV 24.09.2020 korraldus nr 587
1103,07802-1,Tihase,59.4227545,24.7153254,,,,0,,,,,Harju1,,Kristiine,Tallinna linn,6587425.569,540608.47,,
2865,20806-1,Hansunõmme,59.4978999,24.9016876,,,,0,,,,,Harju2,,Viimsi vald,Harjumaa,6595924.0,551075.0,,Viimsi VV korraldus 14.10.2020 nr 599
142222,8200814-1,Tomsoni,57.9830959,25.6818646,Taagepera suunas,,,0,,,,,,,Helme vald,Valgamaa,6428099.499,599490.25,,
32110,5700049-1,Holmi,58.9567734,23.5249446,,,,0,,,,,Laane1,,Haapsalu linn,Läänemaa,6535397.5,472663.562,KP,Haapsalu LV määrus 16.01.2019 nr 44
151426,5701105-1,Hara,59.0855951,23.5288873,,,,0,,,,,Laane2,,Lääne-Nigula vald,Läänemaa,6549744.999,472991.218,endine Hara Lääne-Nigula korraldus 06.04.2021 2-3/21-128,Lääne-Nigula VV 15.11.2022 nr 2-3/22-546
25375,5100073-1,Jalgsema,59.0873518,25.8944013,,,,0,,,,,,,Järva vald,Järvamaa,6551379.289,608586.509,,
34194,6590004-1,Ilumetsa,57.9678611,27.4107298,Rong Koidula suunas,,,0,,,,,,,Räpina vald,Põlvamaa,6430286.499,701781.25,,
27985,8600431-1,Naftabaas,57.8206083,27.0221581,Kaitseväe suunas,,,0,,,,,,,Võru linn,Võrumaa,6412800.0,679548.312,,
32836,4900121-1,Kaigu,58.6523627,25.8541406,Vitsjärve suunas,,,0,,,,,tartu2,,Põltsamaa vald,Jõgevamaa,,,,
23762,4400331-1,Kuremäe,59.1959954,27.5398282,Vasknarva suunas,,,0,,,,,,Kuremäe,Illuka vald,Ida-Virumaa,6567284.499,702196.312,,
